;cve_ent_mun;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida;Restaurantes con servicio de preparación de antojitos;Restaurantes con servicio de preparación de pescados y mariscos;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar;Restaurantes con servicio de preparación de tacos y tortas;Restaurantes de autoservicio;Restaurantes que preparan otro tipo de alimentos para llevar
736;20007;0.0;3.0;0.0;0.0;0.0;0.0;1.0
737;20008;0.0;2.0;0.0;1.0;1.0;0.0;0.0
738;20009;6.0;4.0;0.0;6.0;17.0;0.0;0.0
739;2001;391.0;292.0;142.0;325.0;414.0;77.0;82.0
740;20010;21.0;23.0;1.0;8.0;13.0;0.0;1.0
741;20011;1.0;1.0;0.0;0.0;0.0;0.0;1.0
742;20012;11.0;3.0;0.0;1.0;14.0;0.0;12.0
743;20013;3.0;8.0;2.0;10.0;8.0;0.0;3.0
744;20014;17.0;133.0;7.0;23.0;43.0;0.0;121.0
745;20015;0.0;0.0;0.0;0.0;3.0;0.0;1.0
746;20016;4.0;5.0;0.0;3.0;6.0;0.0;9.0
747;20017;0.0;3.0;0.0;0.0;0.0;0.0;0.0
748;20018;1.0;0.0;0.0;0.0;0.0;0.0;0.0
749;20019;0.0;1.0;0.0;1.0;1.0;0.0;2.0
750;2002;624.0;476.0;248.0;472.0;857.0;136.0;98.0
751;20020;1.0;2.0;0.0;1.0;4.0;0.0;1.0
752;20021;8.0;65.0;1.0;10.0;30.0;0.0;10.0
753;20022;0.0;0.0;0.0;0.0;0.0;0.0;1.0
754;20023;11.0;26.0;4.0;15.0;19.0;1.0;6.0
755;20024;1.0;0.0;0.0;0.0;0.0;0.0;5.0
756;20025;6.0;66.0;2.0;6.0;17.0;0.0;11.0
757;20026;9.0;22.0;2.0;8.0;20.0;0.0;5.0
758;20027;0.0;0.0;0.0;1.0;0.0;0.0;1.0
759;20028;16.0;27.0;2.0;12.0;19.0;0.0;5.0
760;20029;3.0;0.0;2.0;0.0;1.0;0.0;0.0
761;2003;67.0;49.0;26.0;51.0;86.0;8.0;11.0
762;20030;6.0;32.0;0.0;9.0;9.0;0.0;13.0
763;20031;1.0;2.0;0.0;3.0;12.0;0.0;6.0
764;20032;0.0;0.0;0.0;0.0;1.0;0.0;1.0
765;20033;1.0;3.0;0.0;0.0;5.0;0.0;7.0
766;20034;1.0;0.0;0.0;0.0;1.0;0.0;1.0
767;20035;4.0;1.0;0.0;0.0;2.0;0.0;3.0
768;20036;0.0;3.0;0.0;0.0;0.0;0.0;1.0
769;20037;3.0;0.0;0.0;0.0;1.0;0.0;1.0
770;20038;2.0;1.0;0.0;0.0;4.0;0.0;1.0
771;20039;135.0;207.0;16.0;68.0;107.0;11.0;102.0
772;2004;1213.0;681.0;345.0;713.0;929.0;275.0;180.0
773;20040;0.0;2.0;0.0;0.0;1.0;0.0;0.0
774;20041;27.0;41.0;6.0;20.0;44.0;0.0;12.0
775;20042;8.0;6.0;2.0;8.0;12.0;2.0;14.0
776;20043;53.0;502.0;130.0;74.0;158.0;9.0;249.0
777;20044;25.0;148.0;4.0;36.0;71.0;0.0;34.0
778;20045;2.0;4.0;1.0;4.0;4.0;0.0;6.0
779;20046;3.0;3.0;0.0;2.0;4.0;2.0;3.0
780;20049;0.0;1.0;0.0;0.0;2.0;0.0;3.0
781;2005;120.0;104.0;107.0;76.0;91.0;18.0;19.0
782;20050;1.0;2.0;0.0;0.0;0.0;0.0;3.0
783;20051;0.0;1.0;0.0;2.0;5.0;0.0;1.0
784;20052;0.0;14.0;1.0;5.0;4.0;0.0;13.0
785;20053;1.0;7.0;1.0;0.0;0.0;0.0;8.0
786;20055;2.0;1.0;0.0;5.0;7.0;0.0;6.0
787;20056;2.0;4.0;0.0;0.0;2.0;0.0;1.0
788;20057;38.0;142.0;13.0;35.0;45.0;1.0;41.0
789;20058;2.0;3.0;1.0;1.0;5.0;0.0;1.0
790;20059;59.0;63.0;7.0;38.0;79.0;3.0;76.0
791;20060;0.0;0.0;0.0;0.0;0.0;0.0;1.0
792;20061;4.0;0.0;0.0;0.0;1.0;0.0;4.0
793;20062;1.0;0.0;0.0;1.0;0.0;0.0;0.0
794;20063;0.0;13.0;1.0;6.0;8.0;1.0;5.0
795;20064;0.0;3.0;0.0;1.0;3.0;0.0;5.0
796;20065;0.0;0.0;0.0;2.0;2.0;0.0;1.0
797;20066;4.0;17.0;1.0;5.0;11.0;0.0;3.0
798;20067;727.0;585.0;123.0;251.0;635.0;49.0;503.0
799;20068;18.0;30.0;1.0;21.0;29.0;0.0;37.0
800;20069;0.0;1.0;0.0;0.0;1.0;0.0;0.0
801;20070;4.0;1.0;0.0;4.0;4.0;0.0;3.0
802;20071;14.0;2.0;0.0;0.0;0.0;0.0;1.0
803;20072;0.0;1.0;0.0;1.0;4.0;0.0;5.0
804;20073;42.0;25.0;5.0;24.0;81.0;1.0;26.0
805;20074;1.0;0.0;0.0;0.0;0.0;0.0;1.0
806;20075;2.0;28.0;5.0;1.0;5.0;1.0;4.0
807;20076;0.0;3.0;0.0;0.0;3.0;1.0;2.0
808;20077;0.0;9.0;2.0;2.0;2.0;0.0;0.0
809;20078;0.0;3.0;0.0;2.0;2.0;0.0;0.0
810;20079;97.0;313.0;49.0;43.0;138.0;8.0;102.0
811;20080;0.0;3.0;0.0;0.0;1.0;0.0;0.0
812;20081;2.0;0.0;0.0;0.0;3.0;0.0;1.0
813;20082;2.0;7.0;0.0;1.0;3.0;0.0;1.0
814;20083;8.0;30.0;3.0;10.0;21.0;0.0;10.0
815;20084;6.0;8.0;0.0;2.0;3.0;0.0;8.0
816;20085;4.0;1.0;0.0;1.0;9.0;0.0;8.0
817;20086;0.0;0.0;0.0;2.0;4.0;0.0;4.0
818;20087;13.0;29.0;3.0;4.0;13.0;0.0;13.0
819;20088;0.0;0.0;0.0;0.0;3.0;0.0;0.0
820;20089;0.0;0.0;0.0;0.0;1.0;0.0;2.0
821;20090;5.0;10.0;0.0;7.0;8.0;0.0;3.0
822;20091;6.0;11.0;1.0;4.0;6.0;0.0;12.0
823;20092;0.0;0.0;0.0;0.0;0.0;0.0;1.0
824;20094;0.0;0.0;0.0;0.0;5.0;0.0;0.0
825;20095;3.0;1.0;0.0;0.0;2.0;0.0;0.0
826;20096;2.0;2.0;0.0;0.0;1.0;1.0;0.0
827;20097;2.0;0.0;0.0;0.0;0.0;0.0;1.0
828;20098;0.0;0.0;0.0;1.0;1.0;0.0;2.0
829;20099;0.0;0.0;0.0;0.0;0.0;0.0;1.0
830;20100;0.0;1.0;0.0;0.0;0.0;0.0;1.0
831;20101;0.0;1.0;0.0;0.0;1.0;0.0;0.0
832;20102;1.0;2.0;1.0;3.0;3.0;0.0;1.0
833;20103;2.0;8.0;1.0;2.0;5.0;0.0;7.0
834;20104;0.0;3.0;0.0;3.0;5.0;0.0;2.0
835;20105;0.0;0.0;0.0;0.0;0.0;0.0;1.0
836;20107;19.0;35.0;4.0;13.0;26.0;1.0;19.0
837;20108;4.0;2.0;0.0;0.0;2.0;0.0;0.0
838;20109;0.0;2.0;0.0;0.0;1.0;0.0;0.0
839;20110;0.0;0.0;0.0;0.0;0.0;0.0;1.0
840;20111;1.0;1.0;0.0;1.0;3.0;0.0;0.0
841;20112;3.0;2.0;1.0;4.0;1.0;0.0;0.0
842;20113;4.0;0.0;0.0;2.0;2.0;0.0;0.0
843;20115;32.0;14.0;5.0;8.0;16.0;0.0;14.0
844;20116;1.0;0.0;0.0;0.0;4.0;0.0;0.0
845;20117;1.0;1.0;0.0;0.0;2.0;0.0;3.0
846;20118;0.0;0.0;0.0;6.0;2.0;0.0;2.0
847;20119;1.0;0.0;0.0;0.0;0.0;0.0;0.0
848;20120;2.0;0.0;0.0;1.0;0.0;0.0;2.0
849;20121;0.0;0.0;0.0;0.0;0.0;0.0;1.0
850;20122;0.0;3.0;0.0;0.0;0.0;0.0;2.0
851;20123;0.0;0.0;0.0;2.0;3.0;1.0;1.0
852;20124;0.0;110.0;3.0;8.0;15.0;1.0;57.0
