Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
1011,San Francisco de los Romo,7,30 to 34 years,1,Male,2497
1011,San Francisco de los Romo,7,30 to 34 years,2,Female,2358
1011,San Francisco de los Romo,8,35 to 39 years,1,Male,1949
1011,San Francisco de los Romo,8,35 to 39 years,2,Female,1924
1011,San Francisco de los Romo,9,40 to 44 years,1,Male,1440
1011,San Francisco de los Romo,9,40 to 44 years,2,Female,1544
1011,San Francisco de los Romo,10,45 to 49 years,1,Male,1167
1011,San Francisco de los Romo,10,45 to 49 years,2,Female,1270
1011,San Francisco de los Romo,11,50 to 54 years,1,Male,944
1011,San Francisco de los Romo,11,50 to 54 years,2,Female,1022
1011,San Francisco de los Romo,12,55 to 59 years,1,Male,764
1011,San Francisco de los Romo,12,55 to 59 years,2,Female,822
1011,San Francisco de los Romo,13,60 to 64 years,1,Male,610
1011,San Francisco de los Romo,13,60 to 64 years,2,Female,643
1011,San Francisco de los Romo,14,65 or more years,1,Male,1125
1011,San Francisco de los Romo,14,65 or more years,2,Female,1169
2001,Ensenada,1,0 to 4 years,1,Male,22221
2001,Ensenada,1,0 to 4 years,2,Female,21462
2001,Ensenada,2,5 to 9 years,1,Male,22434
2001,Ensenada,2,5 to 9 years,2,Female,21779
2001,Ensenada,3,10 to 14 years,1,Male,23188
2001,Ensenada,3,10 to 14 years,2,Female,22199
2001,Ensenada,4,15 to 19 years,1,Male,24792
2001,Ensenada,4,15 to 19 years,2,Female,23132
2001,Ensenada,5,20 to 24 years,1,Male,25212
2001,Ensenada,5,20 to 24 years,2,Female,23759
2001,Ensenada,6,25 to 29 years,1,Male,24168
2001,Ensenada,6,25 to 29 years,2,Female,23275
2001,Ensenada,7,30 to 34 years,1,Male,21264
2001,Ensenada,7,30 to 34 years,2,Female,21109
2001,Ensenada,8,35 to 39 years,1,Male,18200
2001,Ensenada,8,35 to 39 years,2,Female,18891
2001,Ensenada,9,40 to 44 years,1,Male,16530
2001,Ensenada,9,40 to 44 years,2,Female,17636
2001,Ensenada,10,45 to 49 years,1,Male,16618
2001,Ensenada,10,45 to 49 years,2,Female,17605
2001,Ensenada,11,50 to 54 years,1,Male,15461
2001,Ensenada,11,50 to 54 years,2,Female,16145
2001,Ensenada,12,55 to 59 years,1,Male,12969
2001,Ensenada,12,55 to 59 years,2,Female,13241
2001,Ensenada,13,60 to 64 years,1,Male,10202
2001,Ensenada,13,60 to 64 years,2,Female,10604
2001,Ensenada,14,65 or more years,1,Male,18757
2001,Ensenada,14,65 or more years,2,Female,21715
2002,Mexicali,1,0 to 4 years,1,Male,43252
2002,Mexicali,1,0 to 4 years,2,Female,42202
2002,Mexicali,2,5 to 9 years,1,Male,44390
2002,Mexicali,2,5 to 9 years,2,Female,43997
2002,Mexicali,3,10 to 14 years,1,Male,44711
2002,Mexicali,3,10 to 14 years,2,Female,44015
2002,Mexicali,4,15 to 19 years,1,Male,46430
2002,Mexicali,4,15 to 19 years,2,Female,44513
2002,Mexicali,5,20 to 24 years,1,Male,47623
2002,Mexicali,5,20 to 24 years,2,Female,44741
2002,Mexicali,6,25 to 29 years,1,Male,47812
2002,Mexicali,6,25 to 29 years,2,Female,44735
2002,Mexicali,7,30 to 34 years,1,Male,44141
2002,Mexicali,7,30 to 34 years,2,Female,42624
2002,Mexicali,8,35 to 39 years,1,Male,39720
2002,Mexicali,8,35 to 39 years,2,Female,40089
2002,Mexicali,9,40 to 44 years,1,Male,36695
2002,Mexicali,9,40 to 44 years,2,Female,38570
2002,Mexicali,10,45 to 49 years,1,Male,35720
2002,Mexicali,10,45 to 49 years,2,Female,37451
2002,Mexicali,11,50 to 54 years,1,Male,32790
2002,Mexicali,11,50 to 54 years,2,Female,33359
2002,Mexicali,12,55 to 59 years,1,Male,28032
2002,Mexicali,12,55 to 59 years,2,Female,28192
2002,Mexicali,13,60 to 64 years,1,Male,21839
2002,Mexicali,13,60 to 64 years,2,Female,22925
2002,Mexicali,14,65 or more years,1,Male,38272
2002,Mexicali,14,65 or more years,2,Female,46439
2003,Tecate,1,0 to 4 years,1,Male,4636
2003,Tecate,1,0 to 4 years,2,Female,4582
2003,Tecate,2,5 to 9 years,1,Male,4844
2003,Tecate,2,5 to 9 years,2,Female,4793
2003,Tecate,3,10 to 14 years,1,Male,5046
2003,Tecate,3,10 to 14 years,2,Female,4804
2003,Tecate,4,15 to 19 years,1,Male,5195
2003,Tecate,4,15 to 19 years,2,Female,4834
2003,Tecate,5,20 to 24 years,1,Male,5258
2003,Tecate,5,20 to 24 years,2,Female,4662
2003,Tecate,6,25 to 29 years,1,Male,5298
2003,Tecate,6,25 to 29 years,2,Female,4584
2003,Tecate,7,30 to 34 years,1,Male,4864
2003,Tecate,7,30 to 34 years,2,Female,4405
2003,Tecate,8,35 to 39 years,1,Male,4356
2003,Tecate,8,35 to 39 years,2,Female,4034
2003,Tecate,9,40 to 44 years,1,Male,3986
2003,Tecate,9,40 to 44 years,2,Female,3777
2003,Tecate,10,45 to 49 years,1,Male,3795
2003,Tecate,10,45 to 49 years,2,Female,3643
2003,Tecate,11,50 to 54 years,1,Male,3364
2003,Tecate,11,50 to 54 years,2,Female,3143
2003,Tecate,12,55 to 59 years,1,Male,2733
2003,Tecate,12,55 to 59 years,2,Female,2510
2003,Tecate,13,60 to 64 years,1,Male,2107
2003,Tecate,13,60 to 64 years,2,Female,1961
2003,Tecate,14,65 or more years,1,Male,4044
2003,Tecate,14,65 or more years,2,Female,4276
2004,Tijuana,1,0 to 4 years,1,Male,76127
2004,Tijuana,1,0 to 4 years,2,Female,73036
2004,Tijuana,2,5 to 9 years,1,Male,77315
2004,Tijuana,2,5 to 9 years,2,Female,76200
2004,Tijuana,3,10 to 14 years,1,Male,76751
2004,Tijuana,3,10 to 14 years,2,Female,75862
2004,Tijuana,4,15 to 19 years,1,Male,78073
2004,Tijuana,4,15 to 19 years,2,Female,76477
2004,Tijuana,5,20 to 24 years,1,Male,80078
2004,Tijuana,5,20 to 24 years,2,Female,77866
2004,Tijuana,6,25 to 29 years,1,Male,82964
2004,Tijuana,6,25 to 29 years,2,Female,80496
2004,Tijuana,7,30 to 34 years,1,Male,78674
2004,Tijuana,7,30 to 34 years,2,Female,78504
2004,Tijuana,8,35 to 39 years,1,Male,69675
2004,Tijuana,8,35 to 39 years,2,Female,72321
2004,Tijuana,9,40 to 44 years,1,Male,62244
2004,Tijuana,9,40 to 44 years,2,Female,65250
2004,Tijuana,10,45 to 49 years,1,Male,57912
2004,Tijuana,10,45 to 49 years,2,Female,58293
2004,Tijuana,11,50 to 54 years,1,Male,49829
2004,Tijuana,11,50 to 54 years,2,Female,48847
2004,Tijuana,12,55 to 59 years,1,Male,39618
2004,Tijuana,12,55 to 59 years,2,Female,39664
2004,Tijuana,13,60 to 64 years,1,Male,29096
2004,Tijuana,13,60 to 64 years,2,Female,30836
2004,Tijuana,14,65 or more years,1,Male,46332
2004,Tijuana,14,65 or more years,2,Female,56760
2005,Playas de Rosarito,1,0 to 4 years,1,Male,4546
2005,Playas de Rosarito,1,0 to 4 years,2,Female,4306
2005,Playas de Rosarito,2,5 to 9 years,1,Male,4609
2005,Playas de Rosarito,2,5 to 9 years,2,Female,4789
2005,Playas de Rosarito,3,10 to 14 years,1,Male,4780
2005,Playas de Rosarito,3,10 to 14 years,2,Female,4807
2005,Playas de Rosarito,4,15 to 19 years,1,Male,4941
2005,Playas de Rosarito,4,15 to 19 years,2,Female,4771
2005,Playas de Rosarito,5,20 to 24 years,1,Male,4766
2005,Playas de Rosarito,5,20 to 24 years,2,Female,4661
2005,Playas de Rosarito,6,25 to 29 years,1,Male,4467
2005,Playas de Rosarito,6,25 to 29 years,2,Female,4606
2005,Playas de Rosarito,7,30 to 34 years,1,Male,4094
2005,Playas de Rosarito,7,30 to 34 years,2,Female,4320
2005,Playas de Rosarito,8,35 to 39 years,1,Male,3789
2005,Playas de Rosarito,8,35 to 39 years,2,Female,3968
2005,Playas de Rosarito,9,40 to 44 years,1,Male,3582
2005,Playas de Rosarito,9,40 to 44 years,2,Female,3775
2005,Playas de Rosarito,10,45 to 49 years,1,Male,3503
2005,Playas de Rosarito,10,45 to 49 years,2,Female,3553
2005,Playas de Rosarito,11,50 to 54 years,1,Male,3108
2005,Playas de Rosarito,11,50 to 54 years,2,Female,3002
2005,Playas de Rosarito,12,55 to 59 years,1,Male,2651
2005,Playas de Rosarito,12,55 to 59 years,2,Female,2471
2005,Playas de Rosarito,13,60 to 64 years,1,Male,2264
2005,Playas de Rosarito,13,60 to 64 years,2,Female,2013
2005,Playas de Rosarito,14,65 or more years,1,Male,3820
2005,Playas de Rosarito,14,65 or more years,2,Female,3717
3001,Comondú,1,0 to 4 years,1,Male,3305
3001,Comondú,1,0 to 4 years,2,Female,3157
3001,Comondú,2,5 to 9 years,1,Male,3670
